"OldName","NewName","Title","Type"
"Постановление Правительства РФ от 06_10_2025 N 1546  О типов.xml","postanovlenie-pravitelstva-rf-ot-06-10-2025-n-1546-o-tipovykh-usloviyakh-kontraktov-na-okazanie-uslug-po-provedeniyu-stroitelnogo-kontr--e269f805.xml","Постановление Правительства РФ от 06.10.2025 N 1546 ""О типовых условиях контрактов на оказание услуг по проведению строительного контроля, заключаемых в соответствии с законодательством Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд","resolution"
"Постановление Правительства РФ от 08_02_2017 N 145 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-08-02-2017-n-145-red-ot-23-12-2024-ob-utverzhdenii-pravil-formirovaniya-i-vedeniya-v-edinoi-informatsi--9299200a.xml","Постановление Правительства РФ от 08.02.2017 N 145 (ред. от 23.12.2024) ""Об утверждении Правил формирования и ведения в единой информационной системе в сфере закупок каталога товаров, работ, услуг для обеспечения государственных и муниципальных нужд и Правил использования каталога товаров, работ, услуг для обеспечения государственных и муниципальных нужд","resolution"
"Постановление Правительства РФ от 08_07_2022 N 1224  Об особ.xml","postanovlenie-pravitelstva-rf-ot-08-07-2022-n-1224-ob-osobennostyakh-opisaniya-otdelnykh-vidov-tovarov-yavlyayushchikhsya-obektom-zakup--871d656f.xml","Постановление Правительства РФ от 08.07.2022 N 1224 ""Об особенностях описания отдельных видов товаров, являющихся объектом закупки для обеспечения государственных и муниципальных нужд, при закупках которых предъявляются экологические требования","resolution"
"Постановление Правительства РФ от 08_11_2013 N 1005 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-08-11-2013-n-1005-red-ot-26-12-2024-o-nezavisimykh-garantiyakh-ispolzuemykh-dlya-tselei-federalnogo-za--f101c16f.xml","Постановление Правительства РФ от 08.11.2013 N 1005 (ред. от 26.12.2024) ""О независимых гарантиях, используемых для целей Федерального закона ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд"" (вместе с ""Дополнительными требованиями к независимой гарантии, используемой для целей Федерального закона ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд"", ""Правилами ведения и размещения","resolution"
"Постановление Правительства РФ от 10_07_2019 N 878 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-10-07-2019-n-878-red-ot-13-04-2026-o-merakh-stimulirovaniya-proizvodstva-radioelektronnoi-produktsii-n--ed9a9370.xml","Постановление Правительства РФ от 10.07.2019 N 878 (ред. от 13.04.2026) ""О мерах стимулирования производства радиоэлектронной продукции на территории Российской Федерации при осуществлении закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд, о внесении изменений в постановление Правительства Российской Федерации от 16 сентября 2016 г. N 925 и признании утратившими силу некоторых актов Правительства Российской Федерации"" (вместе с ""Правилами формирования и ведения единого реест","resolution"
"Постановление Правительства РФ от 12_06_2026 N 736  О центра.xml","postanovlenie-pravitelstva-rf-ot-12-06-2026-n-736-o-tsentralizatsii-zakupok-otdelnykh-vidov-lekarstvennykh-preparatov-dlya-meditsinskog--0ab4075b.xml","Постановление Правительства РФ от 12.06.2026 N 736 ""О централизации закупок отдельных видов лекарственных препаратов для медицинского применения и медицинских изделий для обеспечения государственных нужд в целях реализации мероприятий (результатов) федеральных проектов, входящих в состав национальных проектов ""Продолжительная и активная жизнь"" и ""Семья"" (вместе с ""Правилами взаимодействия государственных заказчиков с федеральным казенным учреждением ""Федеральный центр планирования и организации лекарственно","resolution"
"Постановление Правительства РФ от 12_06_2026 N 737  О центра.xml","postanovlenie-pravitelstva-rf-ot-12-06-2026-n-737-o-tsentralizatsii-zakupok-otdelnykh-vidov-meditsinskikh-izdelii-dlya-obespecheniya-go--7486d25f.xml","Постановление Правительства РФ от 12.06.2026 N 737 ""О централизации закупок отдельных видов медицинских изделий для обеспечения государственных нужд в целях реализации мероприятий (результатов) федерального проекта ""Борьба с сахарным диабетом"", входящего в состав национального проекта ""Продолжительная и активная жизнь"" (вместе с ""Правилами взаимодействия государственных заказчиков с федеральным казенным учреждением ""Федеральный центр планирования и организации лекарственного обеспечения граждан"" Министерств","resolution"
"Постановление Правительства РФ от 15_04_2026 N 416  Об измен.xml","postanovlenie-pravitelstva-rf-ot-15-04-2026-n-416-ob-izmenenii-sushchestvennykh-uslovii-kontraktov-zaklyuchennykh-dlya-obespecheniya-fe--42072b55.xml","Постановление Правительства РФ от 15.04.2026 N 416 ""Об изменении существенных условий контрактов, заключенных для обеспечения федеральных нужд, в связи с увеличением с 1 января 2026 г. в соответствии с законодательством Российской Федерации налоговой ставки по налогу на добавленную стоимость","resolution"
"Постановление Правительства РФ от 16_05_2011 N 373 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-16-05-2011-n-373-red-ot-20-07-2021-o-razrabotke-i-utverzhdenii-administrativnykh-reglamentov-osushches--a07065f6.xml","Постановление Правительства РФ от 16.05.2011 N 373 (ред. от 20.07.2021) ""О разработке и утверждении административных регламентов осуществления государственного контроля (надзора) и административных регламентов предоставления государственных услуг"" (вместе с ""Правилами разработки и утверждения административных регламентов осуществления государственного контроля (надзора)"", ""Правилами разработки и утверждения административных регламентов предоставления государственных услуг"", ""Правилами проведения экспертизы","resolution"
"Постановление Правительства РФ от 16_11_2015 N 1236 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-16-11-2015-n-1236-red-ot-09-12-2025-ob-utverzhdenii-pravil-formirovaniya-i-vedeniya-edinogo-reestra-ro--fca6af69.xml","Постановление Правительства РФ от 16.11.2015 N 1236 (ред. от 09.12.2025) ""Об утверждении Правил формирования и ведения единого реестра российских программ для электронных вычислительных машин и баз данных и единого реестра программ для электронных вычислительных машин и баз данных из государств - членов Евразийского экономического союза, за исключением Российской Федерации"" (с изм. и доп., вступ. в силу с 01.03.2026)","resolution"
